なんかねぇ ちょっとおかしいわ俺
先進国でもなんでもない
発展途上国以下
もうタイとかフィリピンより
発展途上国なんだよ
だから日本人はねもう海外行けないよ
海外行ったら
何も食べらんないし
どこも泊まれないよお金が高くて
それだけ日本は買い叩かれてんだよ
ほんとね
またね1ドル60円でいいよ
60円で
どんだけ日本を貧しくするんだよ
自民党は
だから原油も高くなってさ
しかも円安でさ
だからガソリンも高くなってるでしょ
ガソリン高いってことは
何を作るにも高くなってるの
民主党時代が懐かしい
民主党時代が
鳩山ルーピーとかさ
カンナオトとかさ
あいつらほんとバカだと思ってたけど
今思えばすごい奴らだったんじゃないのかな
と思い始めてきたよ
鳩山ルーピーとかさ
鳩山ルーピーが沖縄の普天間基地問題は
解決する手段があるとか言ってさ
実は何もなかったってさ
ことがめくれて叩かれてさ
それでさ民主党は終わったけどさ
本当はルーピーがひどい奴だったけど
でも自民党よりはマシだよね
ルーピー見てるとね
当時はぶん殴ってやりたかったけど
でもあいつすごい奴だったんで
東大出てるし
嫁は宝塚だし
もう限界だわ俺
お金がない
お金がない
もう一人がね
もう一人がね
一人暮らし破綻したら
僕ね
知ってる
これみんなに言ってなかったっけ
これみんなに言ってなかったと思うけど
僕ね
一人暮らしが破綻したら
実家帰るでしょ
そしたら
ニコ生もう辞めさせられるんだよ
そしたらニコ生引退
もう実家じゃニコ生やらせない ってさ
言われてんの
親に
僕がそもそも
引っ越した理由って
もう家でニコ生やると
嫌がらせとかいっぱい来るから
もう家じゃニコ生やらせない
やるなら出てけって言われて
それで
出てきたわけ
それで
一人暮らしが破綻して
実家に帰ったら
もうニコ生できないの
だから実家帰ったら
普通に
障碍者雇用かなんかで働いて
障碍者雇用かなんかで働いて
障碍者雇用かなんかで働いて
そのままそのまま
地味に暮らすしかないんだよ
この生活が破綻したら
もう僕のこと見れなくなるよ
ニコ生で
いいの
それで
だからみんなギフト投げないと
僕の生活が破綻するよ
だから僕が
配信者として存在するには
みんなの力にかかってるんだよ
働けばよくねってさ
そんな簡単な問題じゃないんだよ
働けないんだよ
働いたってさ
特定とかされてさ
会社に嫌がらせとかの
電話とか来たらさ
クビになっちゃうじゃん
クビに
現にクビになったんだよ
前のさ
建設会社の
建設会社に嫌がらせの電話が来てさ
それでさ
ニコ生
辞めるか
辞めないと
もう
うちの個人情報扱う
部署に
扱うから
その仕事はさせられないよって 言われて
本当ひどいんだよ
だから自主退社じゃないんだよ
実質クビになったんだよ
実質クビ
頑張りギフトありがとうございます
頑張るんば
頑張るんば
ありがとうございます
なんか僕も前の会社で
あのね
あの
社内のあの
データベース管理してたから
それをなんかね放送でペラっちゃう
って疑われて
あんた何でも喋るでしょ
だから会社の内部情報とかペラっちゃうんじゃないかって疑われて
もうそういう仕事は任せらんない よってね
疑われたんだよ
僕はね会社の内部情報なんかね
そんなに喋んないよ
シード
そんなこと喋るわけないじゃん
それそれくらい心得てるよ
いくら障害者だからって
精神障害者だってさ
そんななんでもペラペラ喋るわけ じゃないんだから
カップありがとうございます
カップカップカップ
なんかまた働きたいなちゃんと したとこで
週4日
週3日4日
時給時給さあ
950円でいいよ
1000円とは言わない
最低賃金の950円でいいよ
950円で週4日
働きたい
じゃないとさもう
本当収入がきついんだよね
1日
9時から
16時まで
休憩1時間
で実施してるんですよ
休憩1時間で
実質1日6時間か
働きたいんだよなもう
なかなかね僕みたいなね人間をね
受け入れてくれるところがないん だよね
内部情報なんか漏らさないよ
僕ねデータベース管理とか得意 だからね
社内のデータベース管理
痩せてる僕
別に痩せた実感ないけどな
相変わらず腹が出っ張ってるし
相変わらず腹が出っ張ってるし
相変わらず腹が出てるし
そんなに痩せてない多分ね
まだ75から80キロぐらいはある よ
いや休止するよ
それ毎日休止したい気分だっていう 意味だよ
毎日
毎日こんなんじゃさ
毎日休止したくもなるよ
毎日休止したくもなるよ
こんなこんな状態だったら
なんのいいこともないじゃん
毎日休止したくもなるよこんなこんな状態だったらなんのいいこともないじゃん
毎日ずっと家にいてさ
ずっとyoutubeとか見ててさ
本当本当つらいよ
そんな無駄遣いしちゃってさ
今日は何買おうかなってさ
amazonとかさ楽天とか見てさ
あこれ買おうポチ
もう満たされない気持ちが全部 物欲にね
収束していくんだよ
だからもう何も買いたくないんだ けども
どうしようもないんだよこの気持ち
もうどうしようもないんだよ
それもこれも満たされないんだよ全部
僕のさ42歳の無職でさ
もう何にもない
自分が空っぽ
このガランドーの自分っていうさ
このどうしようもなさが
物欲にいっちゃうんだよ
42歳童貞無職
友達もおらず
恋人ができたこともないんだよ
毎日さ泣いてるよ
夜寝るとき
なんでこんな人生なんだろうって
それがさ
それがもうどうしようもなくさ
させてるんだよ
性欲もないよ
性欲も性欲もないよ
はっきり言って
42にもなると性欲もないよ
もう18で
そのね
射精できなくなってから
性欲もね極端になくなった
高校時代とかは性欲あったけど
18歳の時にね
射精できなくなって
性欲はもう極端になくなったしね
ほんと気持ち良くないもん
くそ
だから日に落ちかも
いずれ行かなきゃいけないんだよ
恋人ができた時のために
日に落ちかとか
恋人ができた時のために日に落ちかとか
恋人ができてさ
いざそういうことになったらさ
かわいそうじゃん
かわいそうだよね
だって射精できないんだから
相手に申し訳ないよ
まだしつこくん七原行くわとか
言ってる人いるの
いい加減にした方がいいよ
いや僕ねもうね
自分の遺伝子を残すとかね
半ば諦めてる
だってもう無理じゃん
42歳で
お金もね
お金もなくてさ
42歳でお金もなくて
子供作ったとしてもさ
育てらんなくてさ
作るのは簡単だけど
子供幸せにしてやれないじゃん
大学行かせてやれないじゃん
まともにさ
育ててあげらんないじゃん
どうやって育てるの
こんなさ
コミュニケーション能力もなくなくてさ
子供との接し方もわかんないさ
発達障害のさに
やつがさ
父親としてどうやって
子供とさ
コミュニケーション取るの
だからよっぽどね
母親が
僕の結婚相手が
もうよっぽどできた女じゃなきゃ
無理だよ
本当に完璧な女じゃなきゃね
無理だよ
もうお金もあって
もう金も
もう性格も
もう性格も
もう性格も
もう性格も
何もかも完璧な
そんな女
もう男に頼らずとも
一人で子育てとか
もう何から何まで
全部できるような女じゃなきゃ無理だよ
発達障害の
アスペルガー症候群の男と結婚するっていうね
女は
女が子育てしてる間
僕は普通にフラフラしてるよ
彼女なんてできないよ
彼女なんてできないよ
欲しいけど
残念ながらね
未来がないわ
なんか未来がない
女は何のメリットもない
まあね
メリットデメリットじゃないからね
付き合うとか
結婚とかって
メリットデメリットで考えてたら
何もできないよ
山田玲司が言ってたけど
もうね日本の恋愛ってもうね
ロマンチックとかがなくなってるんだって
山田玲司が言ってたけど
山田玲司っていうのは
あのビーバージンっていう僕が
恋愛のバイブルにしてる
漫画の作者
もうね日本の恋愛は終わってるんだって
もう日本の恋愛はね
ロマンチックっていうものがなくなって
もうねもうお互いね
男も女も
もう自分から待ってるだけなんだって
男も
もう俺を救ってくれ
誰か俺を見染めてくれって言って
女も私を救ってくれ
私を見染めてくれって
言ってるだけの
待ってるだけなんだって
だからもうね
どっちかが
女の方がもう
がっついていかなきゃダメなんだって
男は繊細だから
女の方がもうがっついて
もう私が
私があんた
私がもう何とかしてやるって言って
女の方ががっついて
いかないと恋愛は成立しないんだって
それはね
当然のことだと思う
男は繊細なんだから
男は繊細なんだよ
なのに女はいつまでも
王子様を待ってるんだよ
年収
年収800万円の
背が高くて高学歴で
性格もいい王子様が
いつか
こうやって壁を壁トンしてくれる
そういう王子様が待って
来てくれるって待ってるんだって
山田玲司曰く
そんな男現れないのに
そんな男ね
現れるわけないじゃん
そういう女はね
おらついた
もう適当な男に騙されて
やるだけやられて
ポイって捨てられて
もうボロクズのように捨てられて終わるのにね
もうボロクズのように捨てられて終わるのにね
もうボロクズのように捨てられて終わるのにね
そういう頭のおかしい男っているんだって
そういう頭のおかしい男は
とにかく強引で
行動力だけはあって
それで壁トンして
おいお前
俺と付き合えよって言って
女をモノにして
散々やることやって
飽きたらポイって捨てて
何の罪悪感も抱かないで
それで女を食い散らかしていくんだって
そういう頭のおかしい男っているんだって
そういう頭のおかしい男っているんだって
そういう頭のおかしい男っているんだって
もモテるんだよ
いるじゃんそういう
ニコ生にも
そういう男は
女を食い散らかしていく男
そういう男が
モテるんだよ
でも狂ってるんだよ
そういう男は
人間の感情がない
もうサイコパスのような男なんだよ
サイコパス
もう女の気持ちなんて何も考えない
自分の欲望の吐け口としか
吐け口としか思ってないんだよ
自分の欲望を満たしたらポイ
さーて次の女いないかな
見つけた
壁ドン
俺と付き合えよ
ずっこんぱっこんずっこんぱっこん
飽きたな
ポイ
この繰り返しだよ
そういう男はね
サイコパスなんだって
気がで
そういう男はコンプレックスがあるんだよ
だから学生時代とかに女に相手にされなかったから
大人になってある程度の地位とか手に入れて
よしこれから女を道具にして復習してやるぞって言って
女を食い散らかすんだよ
山田玲司はそう言ってた
おっさんになってから小銭を手に入れたから
それに寄ってくる女を食い散らかして
よし学生時代モテなかった復習だって言って
そういう男のコンプレックスの吐け口にされた
かわいそうな女たちがいっぱいいるんだよ
僕はそんなことしない
僕だって幼稚園小学校
中学校高校専門学校ずっとモテなかったけど
そんなことはしないよ
僕は本当のミューズを探してるだけで
でも世の中にはひどい男がいるんだよ
それだけ
だから気をつけてください
女性の皆さん
本当に世の中にはね
頭がおかしい
女性を物としか考えてない
女性に対する復習心を持った
もう性の吐け口としか考えてない男
気の狂った男がいるから
そういう男はね
あなたを傷つけるだけ傷つけて
道具にするだけして
もうポイって捨てるから
そういう男の特徴はね
会って1日で性行為をする
会って1日で性行為をする
そういう男は気をつけた方がいい
普通はさ会ってさ
こんにちはって会って
普通にさ
最初はご飯一緒に食べたり
どっか遊びに行ったり
そういう交流を
大体1ヶ月とかさ続けるでしょ
1ヶ月2ヶ月そういう交流を続けて
お互いさ打ち解けていくでしょ
それでちょっと仲良くなったら
ちょっと
夜景の見えるところに行って
それで
なんかいい雰囲気になったら
ちょっとキスしようかってなって
ちゅってキスするでしょ
そうやってね
段階踏んでいくのが普通なんで
会ってさ
1日でさ
性行為するとかさ
動物じゃん
もうもはや
動物のさ
オスとメスとかさ
メスじゃん
動物のオスとメスじゃんそれ
人間じゃないよ
会って即成功
会って即成功とかさ
気持ち悪いわ
男も気持ち悪いし
それに応じる女も気持ち悪い
それに応じる女も
どうなんだと思うよ
ほんと気色悪いわ
負け犬の遠吠えじゃないよ
全然負け犬じゃないよ
ただのさ
そんな会ったばっかりの男と
即
交互するってさ
ただの動物じゃん
動物だよ
人間じゃないよ
だから僕はね
そういう女を軽蔑してるし
僕の人生でそういう女と関わり たくないし
ほんと関わりたくないわ
そんな動物的な女とは
昆虫以下だよ
昆虫
今時バッタだってさ
もっと低層観念持ってるわ
以上です
だからね僕ね
僕と付き合う女は
僕ね
彼女ができたら
過去の
生体験を聞くねまず
彼女ができたら
えっと聞くねまず彼女ができたら
君今までどんな
男と付き合ってきて
どんな生体験してきたのって
聞くね
それでもし
ワンナイトラブとか
して
したって聞いたら
ワンナイトラブしたんだ
なんか君って
動物みたいだね
って捨て台詞を残して
その場を去るね
なんか君動物みたいだねって
まあまあそれくらいね僕はね
女性にはちょっと自分の
低層観念っていうのを
大事にしてほしい
それだけです
それだけです
なんかもう眠くなってきたから寝よっかな
僕って惨めだと思う?
僕って惨めかな?
僕って惨めかな?
僕って惨めかな?
僕って惨めかな?
どっちが惨めだと思う?
いろんな女を食い散らかして
愛のない
ワンナイトラブを繰り返して
心ががらんどうになった男と
ずっと
たった一人の女を探して
ここに自分を
守り続けた男を
どっちが惨めだと思う?
どっちが惨め?
僕はBバージンだよ
Bバージン
できるけど
あえて
バージンを貫いてる
Bバージン
僕はBバージンだよ
できるけどあえて
バージンを貫いてる
Bバージン
だってやろうと思えばできるじゃん
だってさ
DMとかいっぱい来るよ
はっきり言って
妊婦さんが好きです
付き合ってください
みたいな
DMいっぱい来るよ
でも僕全部ね
無視してるよ
そういうの
そういうやから
そういうのさ
いっぱい来てるよ
言っとくけど
いや僕ね
いやそういうのは全然分からないよ
いやそういうのは全然分からないよ
全然興味ないんだよねって
言っとくけど
僕のこと好きな人いっぱいいるからね
一応僕も
あのね
あのみんな知らないと思うけど
顔出して
あの配信してると
僕みたいな顔でも
ファンって付くんだよ
女性のファン
みんな知らないと思うけど
僕みたいな顔でも
100人見てたら
100人の女性が見てたら
一人ぐらいは
僕のことを好きになってくれる人がいるんだよ
分かる?
いるんだよねそれが
だって佐田さんを好きになる人もいるんだよ
それは僕のことを好きになる人もいるよ
だって現に佐田さんは
彼女ができてるんだよ
だから僕のことを好きだって人もできるんだよ
それは当たり前じゃん
そんなこと
そんなこと当たり前じゃん
でも僕はあえて断ってるよそういうのは
なんか僕はね
自分の心がキュンってしないの
キュンってする人じゃないと付き合えないで
いくらそんなね多くのファンから好き好き言われても
ワンナイトラブを誘われても
いやちょっとキュンってしないなーって思っちゃうんだよ
なんか相手からグイグイ来られると
なんかさあんまりグイグイさ露骨に来られると
なんだかなーと思っちゃう
そんな感じ
嘘じゃない
だから僕はなんかねそういうさやつじゃなくて
偶然の出会いから恋愛に発展するっていうね
そういうのがいい、なんか 偶然の出会いから発展する恋
なんかたまたまさ、どっかで出会ってさ お互い目が合ってさ
で、電撃がバチって走るとかさ なんかそういうんじゃないとね
のめり込めないんだよ じゃあ終わろうかな
ギフトも飛ばんし ギフトも飛ばんし、1時間経ったし
いや米読もう、だってさ だってギフト飛ばないじゃん
だから僕はね、僕はもう 時計3本買っちゃったのを何度かギフトで
取り替えさせてよ、時計を3本買っちゃった分を まあそんな高い時計じゃないんだけど
時計3本も買っちゃったよ もうね
買い物依存症がひどいんだよ
買い物依存症がひどいんだよ もう
絶望的で なんで最近ギフトくれないんだろう
ひどいよ だから僕病気、病気なんだよもう
病気、病気 病気なんだよ
なんか病気でさ、もう配信も意欲もあんま なくなってるしさ
放送やってもギフト飛ばないしさ じゃあもう終わるよ、じゃあ
終わりますよ
くそっ こんなんじゃもう大赤字だよ
パチパチありがとう だからさ
いやほんとお金がない だから今ね、は、白標の上を歩いてるような
もんなんだよ、全部 全部全部白標の上を歩いてるんだよ僕は
白標の上を歩いてるんだよ わかる?
だからもう買い物依存症なんだよ だからもう買い物依存症なんだよ
買い物依存症
生活費でどんどんなくなってく
彼女も欲しいし
もう終わった
終わります
じゃあまたねバイバイお疲れ様でした
お疲れ
もう3時だ
風呂入ろう
ここから長いです
これが最後のチャンスだ
ギフト投げる
切るよ
放送切るよ
いいのね
放送切るよ
切るよ本当に
もう
これで放送やらないかもしれないよ
これでもうやらないかもしれないよ
僕最近放送意欲もなくなってんだから
放送意欲もないでしょ
性欲もないでしょ
もうね
気力もないんだよ
分かる?
