ああ結局ねああ聞こえてるかな 結局今日もね就労支援まあ在宅と
成長するの時間とともに何にも してなくてもぼーっとしてても
自分でも分かんないんだよね俺は 確実に成長してる感じがしない
経験積まないとさだ成長しないよね 普通はだってさ赤ん坊をネグレクト
して言葉も教えず親の愛情も教え ずそうやって育てたら普通に赤ん坊
のまま体だけ大人のなんかそういう 人が出てきちゃうツイキャスしてた
よいや俺は成長したいよ普通にさ 人並みの世間一番の41歳になりの
精神を持ったね立場な男になりたい だから普通はそれできないから
だから俺さニコ生で成長しようとね 強制的に自分を成長させようと
出会ったりしてるんだよ出会ったり たまに名前出る住川さんの枠でだから
俺さここんとこ成長してると思うよ 沙田さんとか村マコさんとか伊藤さん
とか津山さんとかと飲んだりこの前 だってさ初めてカセちゃんとデート
したりその後さ居酒屋でカラオケ いてマリアンにマリアンを好きにな
たりなんかすごい勢いでさ人生経験 は積んでると思うよやっぱりね成長
するのは女性とデートすることで 成長できると思う恋愛が人を一番
成長させるんで恋愛にはすべて相手 のことを見なきゃいけないしコミュニケーション
取らなきゃ関係が終わっちゃうし いろいろコミュニケーション取
だりなんかプレゼントあげたりデート のプラン考えたりデートで会話して
楽しませたりそれってすごい成長要素 入ってない住川さんはよっさんを
虜にしたの正直ね正直マリニャン に抱きしめられたというかハグされた
あの時本当にこのこと結婚したい と女性の温もりを初めてなんか泣き
そうなんだよ泣きそうなんだけど あの時のこと考える泣きそうになる
んだよ感動しすぎてさあの女性から 抱きしめられたことなんてなかった
からあの時のこと考えるとすごい 泣きそうになるんだよ切なくなる
というかなんか女性に抱きしめられる こういうことなんだ女性に抱きしめ
られるなんかさ自分をさ人格とかさ 今までの人生とか全部さ肯定して
もらったっていうさそんな気にな ちゃったんだよなんか抱きしめられた
だけ好きになっちゃうんだよ愛情 不足なのかでも俺考えたんだよね
もしさ抱きしめてくれたのが別の 人だったらさ俺その人のこと好き
になってたのかなそう考えるなんか 自分がさあれこれ本物のマリア
ちょっと待ってマリアンに見られた くないんだけどえちょっとまって
ちょっとまってちょっとまって今 変なこと俺言おうとしたんだよ
なんか抱きしめてくれたのが他の 人だったら他の人好きになってた
のかなとか変なこと言っちゃう また嫌われるこれだからそうだよ
ってちょっとまって俺はでも実際 抱きしめてくれたのはマリアンじゃん
だからそれはね運命だったんだ 実際抱きしめてくれたのはマリアン
だったからこれは運命誰でもない マリアンだったんだだからだから
別の人に抱きしめられたからと 言っては別になんとも思わなかった
らしいいやあの時はね本当になんか 人生で一番か二番か三番か分かん
ないけどすごいね重要な自分の 中ですごい印象的に印象的な出来
事レスト3に入るっていう感じだ なんかまあそんな感じだもうすぐ
就労支援始まるでもね1位と2位は 何だろう子供時代の楽しい思い出
とかそんな感じか子供の時なんか 家族で旅行行ったりディズニー
ランド行ったりフェリスはある そう突然まあそれもあるみんなは
さ異性に抱きしめられるっていう 経験したことありますか初めて
異性に抱きしめられた時の気持ち って覚えてますかなんかすごい感動
するでしょなんか泣きそうになる でしょしかも俺は41だからね41
歳で初めてだからね抱きしめられた のは就労支援のスタッフにスカイプ
チャット送る訓練さえ訓練します 始めますよいやスカイプチャット
で就労支援の人とやりとりしてる からマリーナの楽しみな予定それは
なんか怖いから来ないわ怖いから あんま来ないわ星の源さんに似て
ませんハニー大木さんいらっしゃい 星の源をクソブスにした感じっていう
のはカセちゃんに言われたけどね いや別にいやいやで就労支援してる
わけじゃないいやいやで就労支援 してるわけじゃないいや俺ってさ
なんかさ愛情に飢えてんのかな 愛情に飢えてんのかな自制環境はね
複雑ではない普通に普通にあれ両親 健在で弟妹もいるしそれでもなんだ
ろ自己肯定感がなくてマリアに 嫌われたの待ってマリアに嫌われてん
の俺嫌われてない嫌われてないなら いいでも正直なんかめんどくさい
よ思われてるハグされただけで なんか泣きそうになったり男として
は嫌いとはまた別ちゃいますか同時 進行になるそうだよ友達から始めて
徐々に好きになってもらうと努力 していけばいいんで3年前5分だけ
スカイプしはネタだけどあの時から もう3年前って言うと俺がちょうど
子生初めてまださそう時間も経てない ほろでまだマリニャンがすごい
雲の上の人っていう女人から外部 かかってさすごいテンパッチャ
でさ住川さん住川と遊ぼうでも僕 はねあんまり他の女性生の人は
遊ぶのはちょっとね変えようかな 地図になんかならなくていい
いろんな女性生の人からんでいい のかなそれで経験を積んで精神年齢
も年齢に追いついたらいいのかな いろんな人ってでもそれってどう
なんだろういや僕は彼女が欲しいよ 女性にで10時からめんていやちょっと
ね住川さんのことよく知らない から住川さんのことすみません
あんまりよく知らないんで今はね マリニャンに一頭になろうと思う
で10時からめんてんと一分しかない じゃあ10時からめんてんなすんだ
じゃあ終わりますお疲れさまでした じゃあまたねばいばい
