よ じゃあんたたち行くわよ kp
いやただただの散歩というか だからただの散歩だよ
1年半前それに比べたらなんか老 けちゃったよね痩せてこの頃は
まだデブだった78キロあった時代 なんだよ
それで今49キロになったんだよ 49キロになってめちゃくちゃ老
け老け始めてきたこれもっと食べ ないといけないんだけど食べらん
ないんだよね1日1食ぐらいしか お腹空いてもまあ2食とかなんだ
けど3食は絶対食べない3食は絶対 食べないもう食べれないなんか
でも1日1食でその1食の量が多い からまだ
生きてられるって感じ労働しない から腹も減らない労働してるよ
配信だって労働じゃんこれすす らないと垂れてくるんだよこの
缶のドリンクってこうやってす すらないとそのさ俺ムカついた
のがさこのツイキャスのスマホ 用のアプリ画面を横にできるか
縦にできるかですごい苦労した こんなこともさワンボタンでできない
のかと思ったつーかボタン必要 ないじゃんこうやってスマホを
縦に向けてたら縦画面になって 横に向けてたら横画面になって
っていうそれ普通のことじゃん なんでそれができないのなんで
その設定をさややこしくすんの ツイキャス本当に使いづらかった
俺も初めて使ったけど初めてかな わかんないけどなんかね縦画面
横画面でなんかできないんだよね ワンボタンでなんか設定とかいじり
ってようやくできたみたいなそれで 一度配信撮ったら途中で変える
こともできないんだよなんかさ 本当それでバックグラウンド再生
もできないから違う画面見ると 切れちゃうんだよバックグラウンド
再生できないからわかるちょっと そういうところを直してほしい
わあのツイキャスの会社はそういう ところを直してほしいわもうガチ
だよ 本当に使いづらいこのアプリスマホ
の なんかねなんていうの感覚的直感
的に使えないの 例えばさアプリの製品ってさ直感
的に使えるじゃん画面をこうやって 動かしたり消したりちっちゃく
したりって直感的に使えるじゃん なんかそういう直感的にできない
んだよ でも僕ねこのiphoneにも腹が立ってる
んだよこのiphone14プラスもうね 熱暴走を起こしてもう2回も熱暴走
を起こして配信切られたからね だってさこれまだ買って1年とか
そんなもんだよ 買って1年とか
それなのに熱暴走して配信が2度 も落ちたんだよだから最後はこの
ケースを取ってむき出しでやって たけどなんかiphoneってさ実はさ
スペック悪いんじゃないのと思い 始めてきた
androidの方がメモリとかも多い じゃん
これさメモリiphone14プラスメモリ が6gbなんだよでandroidのなんとか
ノートプラスなんとかノートって 言うんだっけサムスンの何ノート
って言うんだっけあれ あれだとメモリが
12gbとかあるんだよあそうギャラクシーノート だからさ俺さ配信用にさギャラクシー
ノート買おうかなとか思ってるん だけどどう思う俺これから外配信
いっぱいするからギャラクシーノート とかにしようかななんかiphoneや
めて配信用のは ギャラクシーノートってiphoneより
ずっと高いよね だからそっちの方が多分熱暴走とか
ないんじゃないかなと思って だって今日の気温なんて35度ぐらい
でしょそれで熱暴走2回も起こし たんだからね
だからどんだけこのスマホが熱 に弱いスペックが低いかって話
なんで じゃみんな
みんな iphoneは熱暴走起きやすい
直感的に使えるのはiphoneなんで iphoneはそこが素晴らしいですよ
であのアンドロイドの何がダメ かっていうとボタンがあるじゃん
下に3つ消すボタンとかつけるボタン とかスライドするボタンとかいっぱい
あるじゃんなんかわけわからなく なっちゃうんだよね使ってると
エアコンつけてるよエアコンつけ てる今日は本当にね暑さで死ぬ
かと思った 今日東京何度行った今日東京東京
気温 今日絶対
32度 32度とか言うけど絶対体感では35度
とか6度とかあったよ 35度とか6度とか
今日37度あるの なんかめちゃくちゃ熱中症になり
かけたんだけど ゆのんちゃんみたいに僕も運ばれる
とこだって ほんとねこうやっぱね
外配信は夜あの夏は危険だね 暑い
そもそも求められてない じゃあみんなに質問です今日の外
配信楽しめたって人のあでも 楽しめたって人の
でもなんか配信もう10回ぐらい ぶつ切らになっちゃってちょっと
配信としてはひどかった見せ場 もなかったしなんか
とにかく回線が切れるし他のアプリ 開くと切れるでしょバックグラウンド
再生ないからなんでヘバッカなの まあ確かに自分でもつまんない
なと思ったよ なんかもっとね怖い街かと思った
あのシナの街ってなんか黒服の ガードマンとかがいっぱい何か
悪い奴はいないかってこうやって うの目鷹の目で探してるみたい
に なんかそういうそういう
ことはあるのかなとか期待して 言ったけど何もなかったねなんか
普通に警察官とかも僕はこうやって 配信しててもスルーされたしなんか
怪しい奴だと思われなかったし なんか普通のとこだった普通の
とこ なんか宗教関係はやばいとか思った
けど なんか新宿歌舞伎町とかのほう
が100倍ぐらいやばいよ シナの街は普通になんかあの慶応
大学 の
大学病院もあるし別に創価学会 だけがあれじゃないしね
創価学会カラーのお土産屋とか 本屋とかあったけど
創価学会の施設には創価学会員 じゃないと入れないって言われた
ケッチだよね 霊遊会のあの会場には別に誰でも
入れるんだよ 霊遊会のあの会場霊遊会本部って
どこだっけな
昔よく言ったけど霊遊会の本部 ってどこだっけ
霊遊会本部 霊遊会の本部はどこだ
麻布港区麻布ってすごいいいとこ にあるな
子供の頃とかよくね休みの日連 いてってもらったよ
で誰でも入れるの 父ちゃんと二人でもう何年か前に
行ったこともあるけど別にガード マンとかもいないし
普通に入ってお経唱えてなんか ちょっとうろうろして
なんか人がいなかった人がいなかった 霊遊会は
他に信者が僕たち以外に一人一 グループぐらい本人がいたけど
でもあの入館するときなんか別 に何も言われないしみんなねえ
霊遊会は面白いよなんかでっかい 御本尊っていうのがあって
なんか仏像みたいなのがあって そこで超でかいホールがあって
そこでこうやって座ってお経唱 えるの
今度霊遊会行ってみようかな 霊遊会行ってさ配信許可降りる
かな なんか別に普通に許可取らなくて
も全然いけると思うんだけどだいたい 僕霊遊会員だしねおやじが勝手に
俺を入れてるんだよ霊遊会に 今から行く
ちょっと霊遊会でもさなんか最悪 番にならない
なんか無断で施設に入ったとか で
それどこか警察呼ばれたらちょっと やばいよね
警察呼ばれたらやばいのやっぱ やばいのなんか
不法侵入とかで なんかさシンヤッチョがさ昔さ
交番行って そこに入ってそこで
踊っただけで不法侵入とか言われて 逮捕されたじゃん
あれってさ別にさ 交番に入るのは全然悪くなくない
踊ったのは悪いかもしれないけど 人がいなかったから
まあ踊ってちゃんと警察官に用 があったんでしょ
だからシンヤッチョがね あれはかわいそうだと思った
あれで捕まるのは あれあれは目的は不当だからでも
警察になんか道を
聞きたかったとか言えばいいじゃん
道を聞きたかったから入ったん ですけど
誰もいないから踊っちゃいました で済む話じゃん
それなのにさ逮捕までするって さ
あのよっぽど嫌われてるんだろう ね
シンヤッチョって警察から
僕も警察に嫌われてるの今
なんかちょっと警察といろいろ トラブルがあるんで
配信では言わないけど いろいろねトラブルもあるから
なんか僕もなんか見せしめでなんか 逮捕されたりしないかなっていう
ね
ちょっとねががくぶるってるんだよ ね
なんかさ
なんかなんかのちょっとね 警察官がすごい僕にひどい態度を
取ったの
なんだお前この野郎とか言われて それで僕はそれにぶち切れてすぐ
110番してあの警察官になんでこの 野郎バカ野郎って脅しを受けたん
ですけど
どうしたらいいですかって電話 かけてそれで警察別の警察官来て
それで別の警察官が来てそれで こういうこと言った言わないの
話だよ
だからもうしょうがないからもう 終わりにしましょうって言われた
けど
俺警察官の前で110番しちゃった かあんまりにもさひどかった態度
が
お前なんだこの野郎とか言われた の警察官に警察官にお前なんだ
この野郎とか言われて
それでこの警察官やばいやつだ と思って110番しちゃったんで
いや今日ねあの金爆祭金のお茶 爆祭がえっと23時にあるから僕
22時45分に起きるわ40分に起きる だから金のお茶ください金のお茶
金のお茶くれたら嬉しい金のお茶 金のお茶くれたら嬉しい金のお茶
金のお茶くれたら嬉しい金のお茶 金のお茶くれたら嬉しい金のお茶
金のお茶爆だったらなお嬉しいよ
金のお茶爆だったら金のお茶爆 だったなお嬉しいけどね僕ねほんと
起きるからなんかね
以前起きるつもりだったけど起き らんなくてちょっとリスナーさん
を
失望させちゃったから今回は絶対 起きてるからちょっと今から目
覚ましかけとこうえっと23時間 目覚ましかけとこ23時間ねじゃあ
22時30分には起きる22時30分
ガチで起きるからこれはみーず ちゃんありがとう金の10お茶が126
も溜まってるわありがたい話だ わ
なんか僕はねこれから外配信いっぱい やってくためになんかねスマホ
を荷台持ちにしようかなって考え てるの
やっぱりちょっとアップルでね スマホを2台持ちにしようかなって考えてるの
やっぱりちょっとアップルでね スマホを2台持ちにしようかなって考えてるの
やっぱりちょっとアップルでね スマホを2台持ちにしようかなって考えてるの
アップルウォッチ使ったけどアップルウォッチはなんか使いにくいこの小さい画面で地図を見てもわかんないし
アップルウォッチ使ったけどアップルウォッチはなんか使いにくいこの小さい画面で地図を見てもわかんないし
アップルウォッチ使ったけどアップルウォッチはなんか使いにくいこの小さい画面で地図を見てもわかんないし
アップルウォッチ使ったけどアップルウォッチはなんか使いにくいこの小さい画面で地図を見てもわかんないし だから
だから
なんか改正もう一個契約しようかなと思って アオちゃんありがとう金のお茶
荷台持ちにしようかなやっぱ配信者ってみんな荷台持ちじゃん 外配信ある人はだから僕も荷台持ちなんかね負荷がかかるんだよね
なんかテザリングとかすると負荷がかかるし
あミラージュさんありがとうお茶重 あ
金のお茶ありがとうおヨヨ 金のお茶持たすあ
おヨヨさんありがとうおヨヨさんいっぱいありがとう金のお茶 おヨヨさん
ありがとねポンニーさんありがとう あ
でもねぇ やっぱスマホ2台あった方がいいねぇ
メグリンサバアカさんありがとう 本当にね俺ってさスマホ2台持ってた方がいいよね
やっぱ配信で外配信やる本格的にあるってなったら スマホ2台は必要だよね絶対
どうしよう 1ヶ月6000円くらいプラスかかるけど
配信をこれは日常用にして 次か契約するのが配信を
あゆみさんありがとう どうしよう買おうかなこれ今どこも契約してるからあのー障害者
割引で契約してるんだよ で障害者割引は
1回戦しか使えないからもうどこもは使えないんで障害者割引だから au にしようと思ってて au
au も障害者割引があるんだよ 楽天モバイルは再契約できないしもうあれは
電話番号変えられない時点でもうクソだから
まあやっぱり au か ソフトバンクはどうだろう
ソフトバンクと au だったら au の方がいいのかな
ソフトバンクと au だったら ソフバン
ソフバンってなんか 障害者割引使えたっけな
なんかねー あと
この配信するときにこのケースがあったら絶対熱暴走を起こすってわかった ケースがあったら熱暴走を起こす
スマホクーラーってな なんか聞いたことあるな
スマホクーラー
スマホクーラー
スマホクーラーってなんだこれ
あースマホにファンをつけるんだ これやってたらさ
自撮り簿使えなくない
これやってたら自撮り簿使える使えないよね 自撮り簿使えないよねこれやってたら
ダメじゃん じゃあちょっと人数が集まってきたところで改めて問います
配信楽しんだ人の
楽しんだ人の 楽しくなかったって人はへ
楽しんだって人の の
楽しくなかったって人はへ ののが多い
あれ予想外にのが多いんだけど
予想外にのが多い ちょっと好評だったのかな
撮れたかなかったけど
撮れたかなかったけど
撮れたかなかったけど好評だったのかな
またやろうかな
今度はどこの街行こうかな
ぶらり一人旅
にん散歩
ちー散歩ってあったじゃん
ちーたけおが
日曜の朝ぐらいにやってた
ちー散歩って
ちーたけおがいろんなお店に
街に行っていろんなお店をめぐって
散歩する
あれがめっちゃ好きだったの俺
特にちーたけおのキャラクターが好きで
でちーたけおが死んじゃってからなんか別の俳優になったんでね
なんだっけ若大将とかやってた俳優なんだっけ
あいつがちょっとあんまり面白くなかったの
茅山雄三だ
ちーたけおが亡くなって茅山雄三がやったんだけど
茅山雄三ってなんかねえらそうなんだよ
店の人とかに対して
なんかえらそうなんだよ
態度が
あれで俺嫌いになってもう
散歩番組見なくなったの
だからちーたけおの人柄だよね
ちーたけおの
茅山雄三はガチでなんか
なんかえらそうだった
やっぱり
ちーたけおよりは役者としては
上だからなんか
天狗になっちゃってんだよね
もう
そこらへんの庶民の店なんか
うまいはずなかろうが
みたいな感じで
だから茅山雄三になってから
なんかもう見なくなっちゃった
ちーたけおは本当なんかねすごい
柔和なおじいちゃんって感じでよかったね
今もやってんのかな番組
もう全然見ないけど
今もやってんのかな
あの散歩番組
誰かわからん
まあ僕はテレビないから見れないけどね
今高田順次なの
茅山雄三の若大将シリーズは
面白かった
あの青大将がよかったよねなんだっけ
あの若大将の
ライバル的存在の青大将って
誰がやってたんだっけあれ
あの
なんか北海道のドラマに出てるやつ
あの
青大将って誰だっけ
名前が出てこない
あ田中邦絵だそう
田中邦絵
若大将が
茅山雄三で
あの若大将シリーズめっちゃ面白かったよ
あれねなんかね
午後のロードショーでやってたんだよ
午後のロードショー
でそのシリーズやってたから
面白いなと思って
たまになんかすごい古い
番組とかやるよねあれ
古い日本の映画とか
若い子と話し合わないわけだ
俺昔の映画とかね
なんか
最近はあの午後のロードショーなんて
見ないけど
昔はねもう
かじりつくように見てたからね
いや僕はこの映画を見て
教養を高めるんだっていう
そういう気持ちで見てたからね
この絵などりはなんだろう
エヴォルブエナジー
これがあのシュガーレスなんだよ
だから太らない
あジェームスディーン
あの午後のロードショーで
やってたよねなんだっけ
名前忘れたけど
あの
なんだっけあの
ジェームスディーンって
ポルシェ乗って事故ったやつだよね
ポルシェ乗って
事故って死んじゃったんだよね
ジェームスディーンって
ジェームスディーンの映画も
いくつか見たはずだけど
覚えてない全然
若者のすべてだっけな
なんかそんなタイトルじゃなかったっけな
スタンドバイ見は
違うよ
あビバリーヒルズ青春話
あれは違うよ
あれはドラマじゃん
ブランドンウォルシュとか
ブレンダーとかケリーとか
ブライアンとか
なんか
スティーブとか
出てくるやつでしょ
あれも見てた
でもあれってさ
仲間内でさ別れたりくっついたり
別れたりくっついたり
もう何人兄弟だよって話になってるじゃん
お前ら何人兄弟だよ
何人兄弟
何人さお兄弟
何人乳姉妹なんだよって
なんかね
あれ見てるだけでヘケヘキとしてきたね
あれさすがに
仲間内で若いたり付き合ったり
若いたり付き合ったり
でもね当時の僕は
なんかアメリカの大学生とか高校生とかって
なんか楽しそうだなと思って
憧れはあった
当時は
でもなんでこんな
身内で付き合ったり若いたりするんだろうって
そこは納得いかなかったけどね
ビバリーヒルズ
ビバリーヒルズっていうのは
ロサンゼルスにある
高級住宅街
白人ばっか住んでるとこ
俺恋愛したことないから
恋愛したことないからこそ
楽しめるんだよ
恋愛映画が
恋愛ドラマとか
恋愛したことないからこそ
楽しめるんだよ
だからね
僕の
恋愛モノで一番好きなのは
恋愛モノで一番好きなのってなんだろう
恋愛モノで一番好きなのってなんだろう
恋愛モノで好きなのってあんまないかもね
クラナドよかった
クラナドは泣いた
クラナド
なんだっけ
名前忘れてたけど
クラナドは泣いた
どんな話だったか覚えてない
でも
ただ泣いたって
鳥の歌だっけ
鳥の歌だっけ
エアーだっけ
エアーだっけ
消える飛行機雲
消える飛行機雲
追いかけて追いかけて
追いかけて追いかけて
消える君の跡
消える君の跡
追い越してよごらん
いつまでも
いつまでもまっすぐに
いつまでもまっすぐに
まっすぐさ
こういう歌だよね
鳥の歌って
この歌マジいいよね
この歌マジいいよね
この歌マジいいよね
これってクラナドじゃなかったっけ
これってクラナドじゃなかったっけ
これってクラナドじゃなかったっけ
違かったっけ
エアーか
エアーとクラナドがちょっと区別はつかなくなってきてる
エアーとクラナドがちょっと区別はつかなくなってきてる
多分あれってもう15年とか20年くらい前の作品でしょ
多分あれってもう15年とか20年くらい前の作品でしょ
なんかもうほんと覚えてないわ
リトルバスターズもやったね
リトルバスターズ
でもなんだっけ
クドリアフカとかいたね
ロリキャラの
クドリアフカ
なんだかんだ言って
あれって誰が書いてるんだっけ
カノンだっけ
カノンとか
あキーかキー
キーだよね確か
エンジェルビーツを見たな
キー
僕が
若い頃で一番好きだったアニメは
萌えアニメっていうジャンルができてから好きだったのはなんだろうな
萌えアニメっていうジャンルができて
一番好きだったのは
カードキャプターさくらも好きで
ともよーちゃんが好きだったんだよね
ともよちゃん
カードキャプターさくらそこまではまらなかった
絶対終わるね
お茶箱来ないと一回終わる
お茶箱来ないと一回終わる
ギャルゲーは
ギャルゲーは何が好きかな
なんだかんだ一番やったのが
同級生2かな
同級生2
プレステでやってたやつ
なんだっけ
主人あのヒロインの名前なんだっけな
ルイだっけな
同級生2が一番やったと思う
なんか女の子と住んでるんだよね
だから
どういう家庭だったっけな
下級生は知らん
僕の話聞いてるって人いる
僕の話聞いてるって人
聞いてないならもう終わるけど
聞いてるって人いる
僕の話聞いてるって人いる
僕の話聞いてるって人いる
なんかみんなおすすめのアニメとかない
おすすめのアニメ
最近暇だからさ
アニメ見ようと思って
僕が最近で一番面白いと思ったのは
僕の心のやばいやつっていうアニメ
あれはガチでハマった
中学生の恋愛ものなんだけど
僕の心のやばいやつっていう
あの主人公に
なんか僕は感情移入してしまった
多分中学
中学生の恋愛ものなんだけど
1年とか2年とかの僕の
感情がなんか乗っかってくるの
中学に戻れたら
ああいう恋愛したいなと思って
実際の中学時代の僕は
女子に
なんか
避けられてたね
可愛いとか言われたこともあるけど
基本的になんか避けられてる感じはしたね
でもこんな僕でも
可愛いとか言って
なんかアイドルグループ
みたいな扱いされたこともあるからね
民放ファンクラブとかあって中学の頃
だからね僕の容姿って刺さる人には刺さるんだよ
刺さる人には刺さる
僕の容姿っていうのは
でも僕のモテ期は多分中学ぐらいかな
中学ってなんだかんだモテた気がするな
中学でなんか僕人間不信になったからね
いじめられて
いじめというか殺人未遂されて
なんか人間が怖くなった
あの荻原ってやつに
あの首を絞められて殺人未遂されて
それでも僕は泣きながら耐えたよ
誰にも助けを求められずに
なんか僕殺されかけたこと2回あるんだよ
まず荻原に首絞められた時でしょ
あの音楽室を掃除してる時に
荻原が来てこうやって
お気取りの首を急にギューって絞めてきて
それが1回目でしょ
2回目は中学2年の時
プールの
あの
あの
学年であのプールの授業があって
それで他のクラスのデブ
野球部のデブ中山とかいうやつだったかな
中山
あのデブが俺をこうやって引きずり込む
プールの中に溺れそうなのに
俺は苦しくてこうやってわーってやるけど
デブがこうやって抱きついてきて
俺を沈めようとするの
殺されかけた
中山だか山中だか忘れたけど
多分そんな名前だったんだけど
この2人には殺されかけたからね
本当に
あ、お茶ばっかありがとう
匿名さん
かわいそう
僕本当かわいそうなんですよ
僕ね本当かわいそうなんで
中学でもう人間不振になったからね
野球部のデブと
野球部のデブ中山
山中か中山
あと荻原
中学1年の時の
同じクラスだったやつ
中山と山中が中山で仲間になったからね
小木原 あの
朝黒いなんかインド人みたいな顔した小木原 俺は殺されかけたかね殺人未遂受けたんだから
殺人未遂受けたんだから あの時本当に警察に電話すればよかった僕は今の知識色とか基地のとかであの場に行ったら
多分後ろから大木原の首筋に鉛筆をズキンってね 突き立てて復讐したよそれか警察に電話するか
当時はこれはいじめだ僕はいじめやる僕は悪いんだってね自分を占めちゃったんだよ 閉じちゃった自分の心
だから僕はそのせいで人間不信になって勉強にも手がつかずに友達とうまく付き合えずに 信頼関係築けずに
友達もできないし彼女もできないし あなんかね今日ね電車の中でなんか高校生の2人組みたいな男がなんかね女について
話してた なんか
なんかね女について話してたんだけどなんかそれがなんか なんかね気になったのがいや俺年上絶対無理だわっていう男がいたの
いや年上絶対無理だわ絶対年下がいいわとか言って だから男ってさ若い頃から
年上って無理じゃん なんか引きな耳立てててなんか1人は彼女いるやつでもう一人は彼女いないやつで
いや俺年上とか無理だわーって言ってそれでなんか地元の学校に可愛い子いないんだよなぁとか言ってそれで日本橋の女子と
なんか付き合ってるみたいなこと抜かしやがって
青春っぽいことを抜かしやがってなんか腹が立った
なんかさ高校でさ恋愛話って俺一切しなかったの
恋愛のレの字もなかった
高校の頃
ぼっちだったから恋愛の話する友達もいないし
そもそも恋愛できる女もいないし
なんかさああいう風にさ男同士でさ
なんか高校生で恋愛の話するって
なんかめちゃくちゃ羨ましいなと思った
それでそいつが年上は無理だわって言ってたのに
俺はそうだよなと思った
なんかね
普通の高校生だったら髪も染めてないし黒髪だし
そんな垢抜けた感じはしないけど
こういう普通のやつが恋愛話してたんだよ
なんかさ
それで男二人いるでしょ
それで女子高生が
あの座りたの近くに
その女子高生に
もしあの錦糸町で降りるんだったら
ちょっと声かけてみようかなとか言ってて
でも錦糸町では降りなかったの
だから僕はそのJKを見て
可愛いなと思った
なんかJKって可愛いよね
JKの可愛さって何なんだろう
やっぱ制服着てるからかな
だから
JKって制服着てるから
なんか制服着てると
3割増しぐらいに見えるよね
だからそれだけ
制服っていうのは
性としてのアイコンになってるってことだから
もうね
制服制度やめろって思ってる僕は
あって僕みたいな
純情なおじさんでも
制服着た女子高生見てときめいちゃうんだよ
だから普通の
痴漢するような
ふとどきの女子高生に見えるときめいちゃうんだよ
生き物がJKを
制服でJKだってわかって
痴漢してるんだよJKは
JKに対して
だから痴漢とか撲滅するためにも
日本はもうね
小中高大全部私服
制服はやめる
だってさ一時期ブルセラショップって流行ったじゃん
ブルセラショップ
ブルセラショップって流行ったじゃん
ブルセラショップって流行ったじゃん
ブルセラショップって流行ったじゃん
なんか女子高生が着てた
制服とか高く買うやつとか
いたじゃんブルセラショップ
知らないブルセラショップって
女子高生の制服とか
パンティーとか
ブラジャーとか
体操服とかブルマとか
そういうの売ってる店があったんだよ
俺がちょうど
10代の頃かな
90年代とか
だからさ
制服ってさ
性のアイコンになってるよね
なんかエロゲーとかでもさ
彼女たちは18歳以上ですって書いてあるけど
着てるのが制服なんで
だから制服がどれだけ
あの日本人男性の
性的な
あの履け口になってるかっていうことなんで
だから制服着てると
だから普通にジーパンとか履いて
パーカーとか着てればいいじゃん
女子なんて
痴漢に合わないんだからそうしたら
でもスカート履いてブレザー着て
あのセーラー服着て
そうやってさ
痴漢してくださいって言ってるようなもんじゃん
痴漢男から見れば
だから僕は制服は絶対無くすべき
なんでさ小学校はさ
みんな私服なのにさ
中学になったらいきなり制服になるの
おかしくない
なんで中高で制服になっちゃうの
だって小学校の時はね
小学校の時みんな私服なんだからさ
別に中学高校でも私服でいいじゃん
服なんてさ今さ
貧乏人のためとか言うけど
服なんて今安いじゃん
ユニクロとかGUとかで安いじゃん
いっぱい買えるじゃん
スーパーでも売ってるよ
制服ってかえって高いでしょ
あれ何万円もするでしょ
ブレザー一式
だから中学と高校は
もう日本全国制服はやめるべきじゃないと
変質者の毒がにかかるから
だって僕もさ制服着たJKが
僕の隣に座るとちょっとドギマギしちゃうもん
なんかJKが隣に座ったらどうしようって
なんか変な目で見たらダメだよなとか言って
なんか居づらい感じ
居心地悪くなるもん
でもこれが普通にパーカーとかジーンズとか
履いてる女の子が着ても
別に可愛い子だなぐらいは思うかもしれないけど
ドギマギしないよ
だから中学高校の制服は全部廃止って
もう法律で決める
あとランドセルも禁止
ランドセルってあれ5万とかすんだよ
でもそんなお金さ出せないさ
貧乏な家庭の子もいるわけじゃん
だからもうリュック
しかもリュックの方が軽いしね
ランドセルっていう文化は
本当に外役でしかない
その赤いランドセル見て
ムラムラするロリコンとかいるんだよ
この世の中には
赤いランドセル見ただけでムラムラして
そういうロリコンとかいるんだよ
だから女子小学生はもうリュック
リュックとかザックとかでいいんだよ
自己紹介じゃない
俺は別にランドセル見たからって
ムラムラするわけないじゃん
子供じゃん
ランドセルなんて5万とかすんだよ
本革の
革だからねあれ
5万するよ
だからランドセルは
重たいしあれ1キロぐらいするんだよ
普通のさリュックサックだと500グラムぐらい
500グラムで
背負えるけど
リュックって1キロあるからね
だからリュック禁止
女子高生と女子中学生の制服禁止
男子高生も禁止だけど
リュックは禁止だよ
特に女子高生とか女子小学生とか女子中学生の制服は禁止
じゃないとロリコンの餌食になるから
ロリコンっていうのは
予想以上に世の中結構いるからね
コミックLOっていうのが
作られててそれを毎月公読するやつがいて
何部ぐらい売れてんだろうね
コミックLOって
10万部とか売れてるのか
そしたら10万人のすごい超危険人物が
世に放たれてるってことなんだよ
コミックLOとか
俺はロリコンじゃないよ
俺は
10代とか無理
もう
20超えてないと無理
20超えてないと
無理だよ
僕年上好き
石田由里子とか
小西真奈美とか
あと
深津恵里とか
その辺好きだよ
年上好き
お姉さん
年上のお姉さん
年上のお姉さん好きだよ
だから
だからねもう
国が決めればいいんだよ
ランドセルが禁止
ランドセルこそあれは
日本の教育の
外逆の全てが詰まったもの
みんな同じじゃなきゃいけない
みんな同じランドセルを背負わなきゃいけない
中には
リュックの人が
リュックで聞きたいやつもいるだろうし
リュックでいいんだよ
ランドセル使ってるのは
日本人だけだからね
そんな前時代的なものを
八九時迷いはないけど
戦国なでこは
ありかな
だって戦国なでこって
あれ
戦国なでこは別にセーフでしょ
八九時迷いはアウトだけど
戦国なでこはセーフでしょ
まだ
だって花沢かなだよ
大人の女性が
声を吹き込んでるんだよ
戦国なでこはセーフ
戦国なでこはセーフだよ
でも
物語シリーズも最初は面白かったけど
なんか途中で飽きちゃっても
見なくなった
なんか
なんかいろんなキャラが出過ぎて
なんかよく分かんなくなってきた
まゆたが
シミホクロがすごいジュジー
人の迷惑を考えず配信ネタに
いやらしい
目つきで見てきただと
自分でTS確認してみろ
なにこれ
なにこんなこと言われてんの
それ嘘だよねさすがに
Mさんとは絶縁したからいいけど
でもさすがにそういうこと言われてるとしたら
僕は断固した処置を取るよ
そういうことを言ってたとしたら
断固とした処置を取るよ
それでいいの?
言ってないでしょ
こういう嘘ハト飛ばすやつって
本当悪質だよな
嘘ハト飛ばすやつって
本当悪質だよな
こうやってさ
配信者同士を争わせるようなことを言うやつって
本当クズだね
はっきり言うと
クズ
まゆたとは絶縁しちゃったけど
なんで絶縁したかっていうと
なんか僕が
その太郎とあの
お泊まりやめてって言われたら
嫌だとか言われたし
あと
なんかもう眠いから寝ていいとか言われて
ガチャ切りされたところに腹が立って
もうブロックした全部
もう全部ブロックした
僕はねそういうとこで人を嫌いになっちゃうからね
一瞬Mさんのことは好きになるかなとか思ったけど
やっぱりそういう態度捉えたら
なんかなえるじゃん
そういう態度捉えたら
僕ってなんか軽く扱われたり
そういうのってすごい嫌なんだよね
別に
太郎と熱海行くのは別にいいんだけど
でも
やめてほしいって言った時に
無理って言われて
